0,0,0,-0,0,-1
0,0,0,-0,0,-1
0,0,0,-0,0,-1
0,0,0,-0,0,-1
0,0,0,-0,0,-1
0,0,0,-0,0,-1
-0.0836464,0.0488367,1.01731,0.0393605,-0.0414661,-0.998364
-0.0858776,0.0455537,1.01524,0.0546584,-0.0287307,-0.998092
-0.0890268,0.0417308,1.01023,0.0664386,-0.0272161,-0.997419
-0.0897068,0.0415686,1.01033,0.0710995,-0.0285721,-0.99706
0,0,0,-0,0,-1
0,0,0,-0,0,-1
0,0,0,-0,0,-1
0,0,0,-0,0,-1
0,0,0,-0,0,-1
-0.0943609,0.0365902,0.967516,0.101624,-0.0952306,-0.990254
-0.0942765,0.0332885,0.982043,0.137471,-0.100123,-0.985433
-0.0914569,0.030221,1.00844,0.131064,-0.0764377,-0.988423
-0.0896127,0.0317848,1.01695,0.119853,-0.0807123,-0.989505
-0.0838795,0.0281616,1.03454,0.120584,-0.078214,-0.989617
-0.0782776,0.0314636,1.04942,0.103674,-0.0952362,-0.990041
-0.069675,0.024601,1.07577,0.0808008,-0.0597808,-0.994936
-0.0628935,0.0254821,1.0865,0.046112,-0.0576922,-0.997269
-0.0599365,0.0222903,1.09624,0.0584916,-0.0408849,-0.99745
-0.054439,0.0206159,1.10204,0.0331722,-0.0266918,-0.999093
-0.053422,0.0222775,1.10746,0.039963,-0.0298376,-0.998756
-0.0516576,0.0210951,1.10905,0.044035,-0.02569,-0.9987
-0.0516576,0.0210951,1.10905,0.044035,-0.02569,-0.9987
-0.0516576,0.0210951,1.10905,0.044035,-0.02569,-0.9987
-0.0516576,0.0210951,1.10905,0.044035,-0.02569,-0.9987
-0.0516576,0.0210951,1.10905,0.044035,-0.02569,-0.9987
-0.0516576,0.0210951,1.10905,0.044035,-0.02569,-0.9987
-0.0516576,0.0210951,1.10905,0.044035,-0.02569,-0.9987
-0.0545479,0.0166127,1.09979,0.0673361,-0.00253307,-0.997727
-0.0549357,0.0169213,1.09754,0.0696642,-0.00586373,-0.997553
-0.0570749,0.017777,1.09483,0.0778462,-0.00683357,-0.996942
-0.0570749,0.017777,1.09483,0.0778462,-0.00683357,-0.996942
-0.0570749,0.017777,1.09483,0.0778462,-0.00683357,-0.996942
-0.0606536,0.0179828,1.0922,0.0932688,-0.00238128,-0.995638
-0.0611745,0.0174969,1.09141,0.0951452,0.00336469,-0.995458
-0.0604665,0.0170424,1.0914,0.0866331,0.00583719,-0.996223
-0.0604665,0.0170424,1.0914,0.0866331,0.00583719,-0.996223
-0.0604665,0.0170424,1.0914,0.0866331,0.00583719,-0.996223
-0.0604665,0.0170424,1.0914,0.0866331,0.00583719,-0.996223
-0.0600096,0.0158697,1.09059,0.0567132,0.00205875,-0.998388
-0.0606646,0.0152824,1.09054,0.056917,0.00621201,-0.99836
-0.0606646,0.0152824,1.09054,0.056917,0.00621201,-0.99836
-0.0625035,0.0150845,1.09001,0.054898,0.00267893,-0.998488
-0.0630613,0.0150662,1.0895,0.056442,0.000593671,-0.998406
-0.0642279,0.0157514,1.08874,0.062856,-0.00516139,-0.998009
-0.0642279,0.0157514,1.08874,0.062856,-0.00516139,-0.998009
-0.0664695,0.0144649,1.08746,0.0694599,-0.0032192,-0.99758
-0.0664695,0.0144649,1.08746,0.0694599,-0.0032192,-0.99758
-0.0683195,0.0146437,1.08621,0.0767467,-0.00593224,-0.997033
-0.0677036,0.0139513,1.08596,0.0674252,-0.00396797,-0.997716
-0.0666002,0.0147642,1.08599,0.0557809,-0.0124407,-0.998366
-0.0666002,0.0147642,1.08599,0.0557809,-0.0124407,-0.998366
-0.0670449,0.0146864,1.08561,0.0266,-0.0251841,-0.999329
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0681949,0.0156714,1.08536,0.032804,-0.0305224,-0.998996
-0.0680876,0.0159712,1.08467,0.031136,-0.0343136,-0.998926
-0.0677355,0.0166092,1.08491,0.0239764,-0.0411464,-0.998865
-0.0684103,0.0178979,1.0855,0.0151505,-0.0558947,-0.998322
-0.0657918,0.0162448,1.08531,-0.0499705,-0.0580397,-0.997063
-0.0655944,0.016673,1.0857,-0.0779622,-0.064165,-0.994889
-0.0640733,0.0160801,1.0865,-0.117121,-0.0662699,-0.990904
-0.0637933,0.0165711,1.08652,-0.133953,-0.0692489,-0.988565
-0.0604816,0.0171149,1.08622,-0.181203,-0.0840061,-0.979851
-0.0604816,0.0171149,1.08622,-0.181203,-0.0840061,-0.979851
-0.0604816,0.0171149,1.08622,-0.181203,-0.0840061,-0.979851
-0.0604816,0.0171149,1.08622,-0.181203,-0.0840061,-0.979851
-0.0604816,0.0171149,1.08622,-0.181203,-0.0840061,-0.979851
-0.0604816,0.0171149,1.08622,-0.181203,-0.0840061,-0.979851
-0.0604816,0.0171149,1.08622,-0.181203,-0.0840061,-0.979851
-0.0604816,0.0171149,1.08622,-0.181203,-0.0840061,-0.979851
-0.0604816,0.0171149,1.08622,-0.181203,-0.0840061,-0.979851
-0.0604816,0.0171149,1.08622,-0.181203,-0.0840061,-0.979851
