file name,CIMG1213.AVI,,,,,,,,,,,,,,
parent involvement,1,,,,,,,,,,,,,,
step,2,2,3,4,4,5,5,5,5,6,7,7,7,8,8
time start,3:07,,,,,,,,,,,,,,
time stop,3:14,3:20,3:26,3:31,3:41,3:45,3:48,3:50,3:54,3:57,4:00,4:04,4:08,4:11,4:14
attempted step before prompt,0,0,3,0,0,6,6,,5,0,7,8,8,8,
attempted step successfully executed before prompt,,,2,,,\,2,,2,,2,,,,
P / R / P+R,3,3,2,3,2,3,3,1,2,2,2,1,3,3,
P verbal,0,0,,0,,0,0,0,,,,0,0,0,
vebal used,,,,,,,,,,,,,,,
P gesture,2,5,,2,,1,2,2,,,,2,2,2,
P reward,,,,,,,,,,,,,,,
reward used,,,,,,,,,,,,,,,
R verbal,2,,2,2,2,2,2,,,2,2,,2,,
R gesture,4,,4,3,3,4,4,,,4,4,,4,,
R attention grabber,,,,,,,,,,,,,,,
R reward,,1,,,,,,,1,,,,,1,
C looks at P/R,2,0,0,3,2,3,3,3,2,0,2,1,3,3,
C smiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C murmurs,0,0,0,0,0,1,1,0,1,0,0,1,1,1,
C distracted,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
attempted step after prompt,0,2,3,5,5,5,7,2,,6,7,7,7,8,
attempted step successfully executed after prompt,,2,\,1,1,2,2,2,,2,2,2,2,,
attempted step is correct although different from prompt,0,,,1,1,,0,1,,,,,,,
time 1st prompt,03:09.391,03:14.320,03:20.328,03:25.550,03:30.733,03:40.991,03:45.438,03:47.790,03:52.281,03:54.309,03:58.781,03:59.621,04:03.790,04:07.745,
time C attempts step,\,03:16.721,03:18.137,03:28.046,03:34.814,03:41.638,03:46.629,03:49.252,03:50.157,03:56.529,03:57.477,04:01.296,04:04.794,04:08.684,
time C stops step,\,\,03:24.769,03:30.506,03:39.855,03:44.687,\,\,03:51.822,\,03:59.164,04:02.929,04:06.409,04:10.544,
number of prompts till C executes correct step - parent,1,1,0,1,0,1,2,1,0,0,0,1,1,1,
number of prompts till C executes correct step - robot,1,0,0,1,1,1,1,0,0,1,0,0,1,0,
C stops correct step before next prompt,\,\,1,1,1,1,\,\,1,\,1,1,1,0,
number of prompts till C stops correct step - parent,\,\,0,0,0,0,\,\,0,\,0,0,0,0,
number of prompts till C stops correct step - robot,\,\,0,0,1,0,\,\,0,\,1,0,0,1,
number of presses till C stops soap,,,10,,,,,,,,,,,,
