file name,CIMG1216.AVI,,,,,,,,,,,
parent involvement,3,,,,,,,,,,,
step,3,2,5,5,5,5,5,6,6,7,7,8
time start,5:26,,,,,,,,,,,
time stop,5:28,5:33,5:37,5:42,5:49,5:53,5:55,6:01,6:04,6:09,6:11,6:13
attempted step before prompt,0,0,5,0,0,0,0,0,6,7,,
attempted step successfully executed before prompt,,,1,,,,,,2,2,,
P / R / P+R,3,2,2,2,3,3,3,3,2,2,2,
P verbal,0,,,,0,0,0,0,,,,
vebal used,,,,,,,,,,,,
P gesture,6,,,,5,5,5,6,,,,
P reward,,,,,,,,,,,,
reward used,,,,,,,,,,,,
R verbal,2,2,2,2,2,2,,2,2,2,2,
R gesture,4,4,4,4,4,4,,4,4,4,4,
R attention grabber,,,,,,,,,,,,
R reward,,,,,,,1,,,,,
C looks at P/R,2,0,0,0,0,0,0,0,0,0,,
C smiles,0,1,0,0,0,0,0,0,0,0,,
C murmurs,0,0,0,0,0,1,0,0,0,1,,
C distracted,0,0,0,0,1,0,0,0,0,0,,
attempted step after prompt,3,2,5,5,5,5,5,5,6,7,8,
attempted step successfully executed after prompt,2,2,1,2,2,2,2,2,\,2,,
attempted step is correct although different from prompt,,,,,,,,0,,,0,
time 1st prompt,05:27.739,05:33.064,05:38.538,05:42.071,05:45.367,05:48.524,05:52.568,05:54.902,06:01.457,06:04.660,06:09.439,
time C attempts step,05:30.042,05:35.904,05:37.277,05:42.602,05:46.003,05:50.042,05:53.003,05:59.060,06:00.758,06:03.532,06:10.395,
time C stops step,05:31.190,\,05:41.438,05:44.586,05:48.524,05:51.362,05:54.116,\,\,06:09.635,\,
number of prompts till C executes correct step - parent,0,0,0,0,1,1,1,1,0,0,0,
number of prompts till C executes correct step - robot,1,1,0,1,1,1,0,1,0,0,1,
C stops correct step before next prompt,0,\,1,1,1,1,0,\,\,1,\,
number of prompts till C stops correct step - parent,1,\,0,0,0,0,0,\,\,0,\,
number of prompts till C stops correct step - robot,0,\,1,0,0,0,1,\,\,1,\,
number of presses till C stops soap,1,,,,,,,,,,,
