file name,CIMG1199.AVI,,,,,,,,,,
parent involvement,0,,,,,,,,,,
step,2,2,2,2,3,5,5,5,5,5,8
time start,1:21,,,,,,,,,,
time stop,1:25,1:31,1:33,1:38,1:45,1:47,1:49,1:54,1:55,2:00,2:05
attempted step before prompt,0,,,3,5,6,0,0,0,7,8
attempted step successfully executed before prompt,,,,2,2,\,,,,2,
P / R / P+R,2,1,1,2,2,1,1,2,2,2,
P verbal,,2,2,,,2,2,,,,
vebal used,,; turn on the water [C's name]; turn on the water; water; water; water;,"water, yes; ",,,continue [C's name]; more water;,rinse;,,,,
P gesture,,2,2,,,0,,,,,
P reward,,,,,,,,,,,
reward used,,,,,,,,,,,
R verbal,2,,,2,2,,,2,,2,
R gesture,4,,,4,4,,,4,,4,
R attention grabber,,,,,,,,,1,,
R reward,,,,,1,,,,,,
C looks at P/R,2,1,1,0,1,0,0,0,2,2,
C smiles,0,0,0,0,0,0,0,0,0,0,
C murmurs,0,0,0,0,0,0,0,0,0,0,
C distracted,0,0,0,0,0,0,0,0,0,0,
attempted step after prompt,8,3,2,3,5,0,5,0,6,7,
attempted step successfully executed after prompt,\,\,2,\,\,,2,,2,\,
attempted step is correct although different from prompt,0,0,,1,1,0,,0,,0,
time 1st prompt,01:22.129,01:24.268,01:31.328,01:33.916,01:40.245,01:45.564,01:47.338,01:49.323,01:54.414,01:58.156,
time C attempts step,01:23.578,01:27.969,01:32.490,01:34.309,01:38.114,\,01:48.179,\,01:55.302,01:55.898,
time C stops step,\,\,\,01:36.681,01:43.665,\,01:49.474,\,\,\,
number of prompts till C executes correct step - parent,0,6,1,0,0,2,1,0,0,0,
number of prompts till C executes correct step - robot,1,0,0,0,0,0,0,1,0,1,
C stops correct step before next prompt,\,\,\,1,1,\,1,\,\,\,
number of prompts till C stops correct step - parent,\,\,\,0,0,\,0,\,\,\,
number of prompts till C stops correct step - robot,\,\,\,0,0,\,0,\,\,\,
number of presses till C stops soap,,,,4,,,,,,,
