file name,CIMG1230.AVI,,,,,,,,,,,,
parent involvement,0,,,,,,,,,,,,
step,3,2,5,5,5,5,5,5,5,5,5,5,8
time start,1:28,,,,,,,,,,,,
time stop,1:40,1:43,1:45,1:48,1:51,1:53,1:58,1:59,2:01,2:03,2:08,2:10,2:12
attempted step before prompt,0,,5,0,0,0,7,0,0,0,6,6,8
attempted step successfully executed before prompt,,,1,,,,2,,,,\,2,
P / R / P+R,2,2,0,2,2,2,3,1,1,1,3,2,0
P verbal,,,,,,,0,0,0,0,0,,
vebal used,,,,,,,,,,,,,
P gesture,,,,,,,2,6,7,6,2,,
P reward,,,,,,,,,,,,,
reward used,,,,,,,,,,,,,
R verbal,2,2,,2,2,2,2,,,,2,2,
R gesture,4,4,,4,4,4,4,,,,4,4,
R attention grabber,,,,,,,1,,,,,,
R reward,,,,,,,,,,,,,
C looks at P/R,0,0,0,2,2,0,0,0,0,0,3,3,
C smiles,1,0,0,0,0,1,1,0,0,0,1,1,
C murmurs,0,0,0,0,0,0,0,0,0,0,0,0,
C distracted,0,0,0,0,0,0,0,0,0,0,0,0,
attempted step after prompt,3,2,,5,5,6,7,0,2,0,5,7,
attempted step successfully executed after prompt,2,2,,1,1,2,2,,2,,1,2,
attempted step is correct although different from prompt,,,,,,0,0,0,1,0,,0,
time 1st prompt,01:29.727,01:39.778,\,01:45.066,01:48.275,01:51.406,01:55.073,01:58.066,01:59.283,02:00.533,02:02.953,02:07.522,
time C attempts step,01:30.886,01:42.387,01:43.017,01:46.865,01:49.826,01:52.747,01:53.476,\,01:59.709,\,02:05.592,02:08.067,
time C stops step,01:40.466,\,01:45.008,01:48.174,01:51.198,\,\,\,\,\,02:06.349,02:09.643,
number of prompts till C executes correct step - parent,0,0,0,0,0,0,1,1,1,1,1,0,
number of prompts till C executes correct step - robot,1,1,0,1,1,1,1,0,0,0,1,1,
C stops correct step before next prompt,0,\,1,1,1,\,\,\,\,\,1,\,
number of prompts till C stops correct step - parent,0,\,0,0,0,\,\,\,\,\,0,\,
number of prompts till C stops correct step - robot,1,\,0,0,0,\,\,\,\,\,0,\,
number of presses till C stops soap,22,,,,,,,,,,,,
