file name,CIMG1206.AVI,,,,,,,
parent involvement,3,,,,,,,
step,3,9,2,4,6,7,7,8
time start,0:49,,,,,,,
time stop,0:58,1:03,1:06,1:32,1:36,1:41,1:44,1:52
attempted step before prompt,0,0,0,5,,7,0,0
attempted step successfully executed before prompt,,,,2,,2,,
P / R / P+R,3,3,3,3,2,3,3,3
P verbal,0,0,0,0,,0,0,0
vebal used,,,,,,,,
P gesture,7,7,7,7,,6,7,7
P reward,,,,,,,,
reward used,,,,,,,,
R verbal,2,2,2,2,2,2,2,
R gesture,4,4,4,4,4,4,4,
R attention grabber,,,,,,,,
R reward,,,,,,,,1
C looks at P/R,2,2,2,0,0,0,2,2
C smiles,1,1,0,1,0,1,1,
C murmurs,0,0,0,1,0,1,0,
C distracted,0,0,0,0,0,0,0,
attempted step after prompt,3,4,2,5,6,7,7,
attempted step successfully executed after prompt,2,2,2,2,2,2,2,
attempted step is correct although different from prompt,,1,,1,,,,
time 1st prompt,00:51.231,00:57.929,01:03.341,01:08.735,01:31.893,01:36.335,01:40.810,
time C attempts step,00:54.107,00:59.653,01:04.656,01:05.686,01:33.598,01:35.634,01:41.980,
time C stops step,00:55.459,01:03.847,\,01:32.276,\,01:40.436,01:44.123,
number of prompts till C executes correct step - parent,1,1,1,0,0,0,1,
number of prompts till C executes correct step - robot,1,1,1,0,1,0,0,
C stops correct step before next prompt,0,0,\,0,\,1,1,
number of prompts till C stops correct step - parent,1,1,\,4,\,0,1,
number of prompts till C stops correct step - robot,0,0,\,4,\,1,1,
number of presses till C stops soap,1,,,,,,,
