file name,CIMG1238.AVI,,,,,
parent involvement,0,,,,,
step,3,2,5,5,7,8
time start,1:45,,,,,
time stop,1:52,1:56,2:03,2:04,2:06,2:11
attempted step before prompt,0,,5,6,7,8
attempted step successfully executed before prompt,,,1,2,2,
P / R / P+R,2,2,2,2,0,
P verbal,,,,,,
vebal used,,,,,,
P gesture,,,,,,
P reward,,,,,,
reward used,,,,,,
R verbal,2,2,2,2,,
R gesture,4,4,4,4,,
R attention grabber,,,,,,
R reward,,,,,,
C looks at P/R,2,0,2,0,0,
C smiles,0,0,1,1,1,
C murmurs,0,0,0,0,0,
C distracted,0,0,0,0,1,
attempted step after prompt,3,2,5,6,,
attempted step successfully executed after prompt,2,2,2,\,,
attempted step is correct although different from prompt,,,,,,
time 1st prompt,01:47.182,01:51.990,01:56.892,02:03.224,\,
time C attempts step,01:50.685,01:54.886,01:55.529,02:03.745,02:04.352,
time C stops step,01:53.989,\,02:02.623,\,02:05.971,
number of prompts till C executes correct step - parent,0,0,0,0,0,
number of prompts till C executes correct step - robot,1,1,0,1,0,
C stops correct step before next prompt,0,\,1,\,1,
number of prompts till C stops correct step - parent,0,\,0,\,0,
number of prompts till C stops correct step - robot,0,\,2,\,0,
number of presses till C stops soap,6,,,,,
