file name,CIMG1204.AVI,,,,,,,,,,
parent involvement,0,,,,,,,,,,
step,2,5,5,5,5,5,5,6,7,7,8
time start,2:08,,,,,,,,,,
time stop,2:12,2:23,2:29,2:30,2:33,2:39,2:40,2:46,2:48,2:51,2:56
attempted step before prompt,0,5,0,6,7,,0,0,7,8,8
attempted step successfully executed before prompt,,2,,2,2,,,,2,,
P / R / P+R,2,2,2,2,3,1,1,3,2,1,2
P verbal,,,,,0,0,0,0,,0,
vebal used,,,,,,,,,,,
P gesture,,,,,2,7,2,2,,2,
P reward,,,,,,,,,,,
reward used,,,,,,,,,,,
R verbal,2,2,2,,2,,,2,1,,
R gesture,4,4,4,,4,,,4,4,,
R attention grabber,,,,1,,,,,,,
R reward,,,,,,,,,,,1
C looks at P/R,2,2,0,0,3,1,1,3,0,3,3
C smiles,0,0,0,0,0,1,0,0,0,0,
C murmurs,0,0,0,0,0,1,0,0,1,1,
C distracted,0,0,1,0,0,0,0,1,0,0,
attempted step after prompt,2,5,5,6,8,5,5,6,7,7,
attempted step successfully executed after prompt,2,1,1,\,,2,2,2,2,2,
attempted step is correct although different from prompt,,,,,0,,,,,,
time 1st prompt,02:10.572,02:16.160,02:23.088,02:28.757,02:29.907,02:32.923,02:38.623,02:39.684,02:46.428,02:47.873,
time C attempts step,02:11.220,02:12.375,02:26.946,02:29.008,02:32.709,02:36.418,02:39.341,02:44.687,02:45.533,02:49.134,
time C stops step,\,02:22.855,02:28.040,\,\,02:38.099,02:41.258,\,02:47.407,02:51.246,
number of prompts till C executes correct step - parent,0,0,0,0,1,1,1,1,0,1,
number of prompts till C executes correct step - robot,1,0,1,0,1,0,0,1,0,0,
C stops correct step before next prompt,\,1,1,\,\,1,0,\,1,1,
number of prompts till C stops correct step - parent,\,0,0,\,\,0,0,\,0,0,
number of prompts till C stops correct step - robot,\,2,0,\,\,0,0,\,1,0,
number of presses till C stops soap,,,,,,,,,,,
