file name,CIMG1225.AVI,,,,,,,,,,,,,,
parent involvement,1,,,,,,,,,,,,,,
step,3,2,5,5,5,5,5,5,5,5,4,2,6,5,8
time start,1:36,,,,,,,,,,,,,,
time stop,1:45,1:46,1:52,1:55,1:58,1:59,2:03,2:04,2:08,2:09,2:13,2:15,2:16,2:18,2:22
attempted step before prompt,2,2,5,5,5,7,,8,,,0,0,6,7,8
attempted step successfully executed before prompt,2,2,1,1,1,1,,,,,,,2,2,
P / R / P+R,2,2,2,0,2,2,3,2,1,1,3,,0,2,
P verbal,,,,,,,0,,0,0,0,0,,,
vebal used,,,,,,,,,,,,,,,
P gesture,,,,,,,2,,2,2,6,7,,,
P reward,,,,,,,,,,,,,,,
reward used,,,,,,,,,,,,,,,
R verbal,2,2,2,,2,2,,2,,,2,,,2,
R gesture,4,4,4,,4,4,,4,,,3,,,4,
R attention grabber,,,,,,,1,,,,,,,,
R reward,,,,,,,,,,,,,,,
C looks at P/R,0,0,0,0,2,2,1,0,1,1,1,0,1,0,
C smiles,0,0,1,0,0,1,0,0,0,0,0,0,0,1,
C murmurs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
C distracted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
attempted step after prompt,3,2,5,,6,8,7,8,7,0,0,5,,7,
attempted step successfully executed after prompt,2,\,2,,2,,2,,2,,,2,,2,
attempted step is correct although different from prompt,,,,,0,0,0,0,0,0,0,1,,0,
time 1st prompt,01:37.803,01:45.605,01:49.874,\,01:54.524,01:57.764,01:59.482,02:03.336,02:04.139,02:07.585,02:09.193,02:12.726,\,02:16.365,
time C attempts step,01:39.815,01:45.107,01:46.560,01:51.644,01:55.913,01:58.668,02:00.806,02:03.061,02:05.491,02:08.459,\,02:13.428,02:15.436,02:15.829,
time C stops step,01:44.507,\,01:50.096,01:52.793,\,\,02:02.873,\,\,\,\,02:14.852,\,\,
number of prompts till C executes correct step - parent,0,0,0,0,0,0,1,0,1,1,1,1,0,0,
number of prompts till C executes correct step - robot,1,0,0,0,1,1,0,1,0,0,1,0,0,1,
C stops correct step before next prompt,1,\,1,1,\,\,1,\,\,\,\,1,\,\,
number of prompts till C stops correct step - parent,0,\,0,0,\,\,0,\,\,\,\,0,\,\,
number of prompts till C stops correct step - robot,0,\,1,0,\,\,0,\,\,\,\,0,\,\,
number of presses till C stops soap,8,,,,,,,,,,,,,,
