7,7,0,
13,3,0,
10,3,0,
12,5,0,
9,6,0,
17,12,0,
8,5,0,
12,5,0,
10,3,0,
14,8,0,
8,7,0,
8,14,0,
17,9,0,
14,8,1,
16,11,0,
15,17,3,
12,16,4,
7,16,3,
8,5,0,
11,6,0,
8,6,0,
12,5,0,
5,7,0,
10,14,5,
12,4,0,
12,4,0,
12,7,0,
11,7,0,
14,4,0,
14,14,0,
13,4,0,
15,3,0,
10,7,0,
14,8,0,
12,6,0,
12,11,0,
11,8,0,
13,5,0,
13,5,0,
10,8,0,
12,4,0,
7,17,4,
11,8,0,
12,12,0,
15,6,1,
10,10,0,
12,5,0,
7,13,1,
15,7,0,
11,6,0,
10,9,0,
13,9,0,
11,9,0,
14,10,0,
13,5,0,
11,5,1,
15,3,0,
10,5,0,
12,5,0,
1,17,3,
15,7,0,
11,6,0,
9,6,0,
8,7,0,
16,5,0,
0,13,0,
16,5,0,
10,2,0,
13,4,0,
11,5,0,
12,7,0,
4,11,0,
9,8,0,
9,6,1,
13,7,0,
16,4,0,
10,6,0,
2,14,2,
16,9,0,
13,7,0,
11,11,0,
12,7,0,
10,7,0,
6,13,0,
12,7,0,
10,11,0,
10,12,0,
9,8,0,
15,4,0,
15,14,1,
11,8,2,
10,8,1,
12,5,0,
9,9,0,
13,8,0,
11,11,0,
5,8,0,
14,6,0,
12,10,0,
11,10,0,
12,7,0,
2,11,0,
9,10,1,
9,5,0,
11,5,0,
12,6,0,
10,9,0,
3,13,1,
12,9,0,
11,8,0,
14,5,0,
14,4,0,
13,7,0,
8,19,4,
10,1,0,
11,4,0,
8,3,0,
10,5,0,
13,3,0,
13,6,0,
9,6,0,
10,7,0,
13,3,0,
13,6,0,
10,6,0,
12,16,4,
13,10,0,
12,10,0,
13,8,1,
14,8,0,
11,4,0,
7,17,4,
14,7,0,
10,10,0,
10,9,0,
13,3,0,
13,6,1,
13,11,2,
10,6,0,
6,8,0,
11,9,1,
11,9,0,
10,7,0,
7,16,1,
10,7,0,
9,7,1,
12,5,0,
13,6,1,
11,12,0,
10,13,0,
8,8,0,
12,7,0,
8,8,0,
11,5,0,
13,8,0,
11,11,0,
9,6,1,
14,10,0,
11,7,0,
10,5,0,
10,8,0,
5,20,6,
16,9,0,
12,7,0,
14,10,0,
12,6,0,
12,7,0,
14,14,1,
10,4,0,
12,6,0,
14,7,0,
10,4,0,
12,5,0,
12,7,0,
12,7,0,
11,4,0,
9,1,0,
12,6,0,
11,4,0,
12,6,0,
11,6,0,
14,3,0,
10,9,1,
10,6,0,
9,3,0,
10,9,0,
9,5,0,
7,7,0,
10,7,0,
9,9,0,
14,5,0,
5,15,0,
13,6,0,
15,7,0,
14,7,0,
11,10,0,
10,9,0,
4,15,2,
13,8,0,
15,8,0,
15,10,1,
14,8,0,
10,7,0,
11,16,1,
12,7,0,
12,5,0,
13,2,0,
11,6,0,
15,6,0,
10,14,1,
11,4,0,
14,3,0,
11,8,0,
13,7,0,
11,5,0,
13,9,0,
12,10,2,
10,3,0,
14,7,0,
11,9,0,
12,7,0,
12,6,0,
14,9,0,
12,9,1,
13,8,0,
10,7,0,
12,6,0,
8,14,2,
10,8,0,
12,7,1,
10,6,0,
10,8,0,
12,5,1,
17,9,1,
15,5,1,
11,9,0,
10,5,0,
9,6,0,
11,6,0,
2,11,2,
11,5,0,
7,6,0,
14,6,0,
8,5,0,
10,4,0,
6,23,3,
14,7,0,
13,6,1,
11,3,0,
10,5,0,
9,6,0,
14,6,0,
9,6,0,
14,8,0,
11,6,0,
10,3,0,
10,7,0,
10,13,1,
10,6,0,
9,4,0,
9,6,0,
14,3,0,
13,7,2,
12,4,0,
11,7,0,
9,7,1,
11,4,0,
11,7,0,
12,5,0,
12,5,1,
5,5,0,
12,2,0,
10,4,0,
13,7,0,
13,8,0,
12,20,0,
12,7,0,
14,4,0,
12,6,0,
11,5,0,
7,11,1,
12,11,0,
10,8,0,
14,7,0,
10,3,0,
11,3,0,
12,4,0,
15,3,0,
11,2,0,
11,2,0,
10,4,0,
11,9,0,
9,9,0,
12,3,0,
13,5,1,
11,4,0,
9,5,0,
12,6,0,
8,5,0,
12,6,0,
13,5,0,
10,5,1,
10,3,0,
8,5,0,
11,7,0,
6,13,0,
14,5,0,
9,2,0,
12,3,0,
11,7,0,
14,4,0,
0,10,2,
10,4,0,
15,6,1,
14,3,0,
10,5,0,
8,8,0,
13,5,0,
15,5,0,
6,7,0,
8,2,0,
8,2,0,
11,4,0,
11,5,0,
14,7,0,
12,6,0,
7,4,0,
10,3,0,
